Time (s),PHI2,R_W,D0,A0
-0.0015844,1,1,0,1
-0.0015843,0,1,0,1
-0.0015842,0,1,0,1
-0.0015841,0,1,0,1
-0.001584,0,1,1,1
-0.0015839,0,1,1,1
-0.0015838,0,0,1,1
-0.0015837,1,0,0,0
-0.0015836,1,0,0,0
-0.0015835,1,0,0,0
-0.0015834,1,0,0,0
-0.0015833,0,0,0,1
-0.0015832,0,1,0,1
-0.0015831,0,1,0,1
-0.001583,0,1,1,1
-0.0015829,0,1,1,1
-0.0015828,1,1,1,0
-0.0015827,1,1,0,0
-0.0015826,1,1,0,0
-0.0015825,1,1,0,0
-0.0015824,1,1,0,0
-0.0015823,0,1,0,1
-0.0015822,0,1,0,1
-0.0015821,0,1,0,1
-0.001582,0,1,1,1
-0.0015819,0,1,1,1
-0.0015818,1,1,1,1
-0.0015817,1,1,1,1
-0.0015816,1,1,1,1
-0.0015815,1,1,1,1
-0.0015814,1,1,1,1
-0.0015813,0,1,0,1
-0.0015812,0,1,0,1
-0.0015811,0,1,0,1
-0.001581,0,1,1,1
-0.0015809,0,1,1,1
-0.0015808,1,1,0,0
-0.0015807,1,1,0,0
-0.0015806,1,1,0,0
-0.0015805,1,1,0,0
-0.0015804,0,1,0,0
-0.0015803,0,1,0,1
-0.0015802,0,1,0,1
-0.0015801,0,1,1,1
-0.00158,0,1,1,1
-0.0015799,0,1,1,1
-0.0015798,1,1,0,1
-0.0015797,1,1,1,1
-0.0015796,1,1,1,1
-0.0015795,1,1,1,1
-0.0015794,0,1,1,1
-0.0015793,0,1,0,1
-0.0015792,0,1,0,1
-0.0015791,0,1,1,1
-0.001579,0,1,1,1
-0.0015789,1,1,1,0
-0.0015788,1,1,0,0
-0.0015787,1,1,0,0
-0.0015786,1,1,0,0
-0.0015785,1,1,0,0
-0.0015784,0,1,0,1
-0.0015783,0,1,0,1
-0.0015782,0,1,0,1
-0.0015781,0,1,1,1
-0.001578,0,1,1,1
-0.0015779,1,1,1,0
-0.0015778,1,1,1,0
-0.0015777,1,1,1,0
-0.0015776,1,1,0,0
-0.0015775,1,1,0,0
-0.0015774,0,1,0,1
-0.0015773,0,1,0,1
-0.0015772,0,1,0,1
-0.0015771,0,1,1,1
-0.001577,0,1,1,1
-0.0015769,1,1,1,1
-0.0015768,1,1,1,1
-0.0015767,1,1,1,1
-0.0015766,1,1,1,1
-0.0015765,0,1,1,1
-0.0015764,0,1,0,1
-0.0015763,0,1,0,1
-0.0015762,0,1,0,1
-0.0015761,0,1,1,1
-0.001576,0,1,1,1
-0.0015759,1,1,0,0
-0.0015758,1,1,0,0
-0.0015757,1,1,0,0
-0.0015756,1,1,0,0
-0.0015755,0,1,0,0
-0.0015754,0,1,0,1
-0.0015753,0,1,0,1
-0.0015752,0,1,1,1
-0.0015751,0,1,1,1
-0.001575,0,0,1,1
-0.0015749,1,0,0,0
-0.0015748,1,0,0,0
-0.0015747,1,0,0,0
-0.0015746,1,0,0,0
-0.0015745,0,0,0,0
-0.0015744,0,1,0,1
-0.0015743,0,1,0,1
-0.0015742,0,1,1,1
-0.0015741,0,1,1,1
-0.001574,1,1,1,1
-0.0015739,1,1,1,1
-0.0015738,1,1,1,1
-0.0015737,1,1,1,1
-0.0015736,1,1,1,1
-0.0015735,0,1,0,1
-0.0015734,0,1,0,1
-0.0015733,0,1,0,1
-0.0015732,0,1,1,1
-0.0015731,0,1,1,1
-0.001573,1,1,1,0
-0.0015729,1,1,0,0
-0.0015728,1,1,0,0
-0.0015727,1,1,0,0
-0.0015726,1,1,0,0
-0.0015725,0,1,0,1
-0.0015724,0,1,0,1
-0.0015723,0,1,0,1
-0.0015722,0,1,1,1
-0.0015721,0,1,1,1
-0.001572,1,1,0,1
-0.0015719,1,1,0,1
-0.0015718,1,1,0,1
-0.0015717,1,1,0,1
-0.0015716,0,1,0,1
-0.0015715,0,1,0,1
-0.0015714,0,1,0,1
-0.0015713,0,1,1,1
-0.0015712,0,1,1,1
-0.0015711,0,1,1,1
-0.001571,1,0,0,0
-0.0015709,1,0,0,0
-0.0015708,1,0,0,0
-0.0015707,1,0,0,0
-0.0015706,0,0,0,0
-0.0015705,0,1,0,1
-0.0015704,0,1,0,1
-0.0015703,0,1,1,1
-0.0015702,0,1,1,1
-0.0015701,1,1,1,0
-0.00157,1,1,0,0
-0.0015699,1,1,0,0
-0.0015698,1,1,0,0
-0.0015697,1,1,0,0
-0.0015696,0,1,0,1
-0.0015695,0,1,0,1
-0.0015694,0,1,0,1
-0.0015693,0,1,1,1
-0.0015692,0,1,1,1
-0.0015691,1,1,1,1
-0.001569,1,1,1,1
-0.0015689,1,1,1,1
-0.0015688,1,1,1,1
-0.0015687,1,1,1,1
-0.0015686,0,1,0,1
-0.0015685,0,1,0,1
-0.0015684,0,1,0,1
-0.0015683,0,1,1,1
-0.0015682,0,1,1,1
-0.0015681,1,1,1,0
-0.001568,1,1,0,0
-0.0015679,1,1,0,0
-0.0015678,1,1,0,0
-0.0015677,0,1,0,0
-0.0015676,0,1,0,1
-0.0015675,0,1,0,1
-0.0015674,0,1,0,1
-0.0015673,0,1,1,1
-0.0015672,0,1,1,1
-0.0015671,1,1,0,1
-0.001567,1,1,1,1
-0.0015669,1,1,1,1
-0.0015668,1,1,1,1
-0.0015667,0,1,1,1
-0.0015666,0,1,0,1
-0.0015665,0,1,0,1
-0.0015664,0,1,1,1
-0.0015663,0,1,1,1
-0.0015662,1,1,1,1
-0.0015661,1,1,0,0
-0.001566,1,1,0,0
-0.0015659,1,1,0,0
-0.0015658,1,1,0,0
-0.0015657,0,1,0,1
-0.0015656,0,1,0,1
-0.0015655,0,1,0,1
-0.0015654,0,1,1,1
-0.0015653,0,1,1,1
-0.0015652,1,1,1,0
-0.0015651,1,1,1,0
-0.001565,1,1,1,0
-0.0015649,1,1,0,0
-0.0015648,1,1,0,0
-0.0015647,0,1,0,1
-0.0015646,0,1,0,1
-0.0015645,0,1,0,1
-0.0015644,0,1,1,1
-0.0015643,0,1,1,1
-0.0015642,1,1,1,1
-0.0015641,1,1,1,1
-0.001564,1,1,1,1
-0.0015639,1,1,1,1
